Food consumption,,,,,,
Dietary Energy Consumption (kcal/person/day),,,,,,
Country Code,Country name,,1990-92,1995-97,2000-02,2005-07
3,Albania,,2560  ,2850  ,2850  ,2900  
4,Algeria,,2890  ,2880  ,2990  ,3110  
7,Angola,,1580  ,1660  ,1790  ,1950  
8,Antigua and Barbuda,not in SOFI,2510  ,2180  ,2110  ,2320  
9,Argentina,,3010  ,3160  ,3140  ,3000  
1,Armenia,,1920  ,2030  ,2140  ,2250  
10,Australia,,3130  ,3080  ,3050  ,3190  
11,Austria,,3540  ,3610  ,3790  ,3760  
52,Azerbaijan,,2160  ,2170  ,2510  ,3000  
12,Bahamas,not in SOFI,2610  ,2560  ,2700  ,2700  
16,Bangladesh,,1960  ,1930  ,2170  ,2250  
14,Barbados,not in SOFI,3040  ,3010  ,3050  ,3050  
57,Belarus,,3180  ,3240  ,3000  ,3090  
255,Belgium,,0  ,0  ,3720  ,3690  
23,Belize,not in SOFI,2510  ,2500  ,2610  ,2720  
53,Benin,,2250  ,2320  ,2410  ,2510  
17,Bermuda,not in SOFI,2870  ,2860  ,2620  ,2540  
19,Bolivia (Plurinational State of),,2030  ,2100  ,2160  ,2090  
80,Bosnia and Herzegovina,,2670  ,2880  ,2820  ,3080  
20,Botswana,,2260  ,2220  ,2180  ,2240  
21,Brazil,,2760  ,2840  ,2900  ,3100  
26,Brunei Darussalam,not in SOFI,2730  ,2850  ,2910  ,2990  
27,Bulgaria,,3070  ,2770  ,2790  ,2760  
233,Burkina Faso,,2460  ,2530  ,2530  ,2670  
29,Burundi,,1860  ,1710  ,1680  ,1680  
115,Cambodia,,1870  ,1850  ,2070  ,2250  
32,Cameroon,,2020  ,2020  ,2160  ,2260  
33,Canada,,3050  ,3280  ,3520  ,3530  
35,Cape Verde,not in SOFI,2370  ,2360  ,2350  ,2550  
37,Central African Republic,,1880  ,1850  ,1910  ,1960  
39,Chad,,1700  ,1790  ,1940  ,2040  
40,Chile,,2600  ,2740  ,2840  ,2960  
351,China,,2580  ,2840  ,2920  ,2970  
44,Colombia,,2410  ,2580  ,2650  ,2660  
45,Comoros,not in SOFI,1900  ,1810  ,1750  ,1860  
46,Congo,,1970  ,1980  ,2370  ,2510  
48,Costa Rica,,2820  ,2750  ,2820  ,2810  
107,Cote d'Ivoire,,2470  ,2430  ,2440  ,2510  
98,Croatia,,2420  ,2540  ,2670  ,2990  
49,Cuba,,2720  ,2450  ,3110  ,3300  
