Row Labels,2004,2005,2006,2007,2008,2009
Algeria,0,22,26,37,36,42
Angola,7,7,14,23,26,35
Benin,13,29,45,52,61,72
^Botswana,46,68,80,83,93,95
Burkina Faso,6,18,32,38,48,60
Burundi,5,11,14,17,23,27
^Cote d'Ivoire,3,10,20,20,28,39
Cameroon,10,17,19,28,34,41
Central African Republic,2,3,5,18,20,28
Chad,1,12,12,14,31,53
Comoros,95,95,19,23,22,29
DRC,2,14,15,22,40,33
Djibouti,6,10,16,18,20,21
Egypt,7,23,18,15,18,19
Equatorial Guinea,0,0,17,32,23,39
Eritrea,1,7,14,14,46,51
^Gabon,21,19,45,49,55,66
Gambia The,12,10,23,19,28,28
Ghana,3,6,13,15,26,36
Guinea,4,9,20,23,36,56
Guinea-Bissau,0,2,8,17,33,46
^Kenya,6,14,27,37,50,65
Lesotho,5,12,24,27,54,68
Liberia,0,3,5,9,13,20
Madagascar,0,0,2,3,3,4
Malawi,5,11,22,35,50,64
Mali,3,25,40,40,52,65
Mauritania,2,,9,28,33,41
Mauritius,16,13,23,25,33,38
Morocco,13,22,31,33,40,42
Mozambique,3,8,15,28,37,45
Namibia,21,63,70,92,94,95
Niger,0,4,7,9,15,33
Nigeria,2,5,11,22,25,31
^Rwanda,13,37,65,83,95,95
Senegal,18,42,48,49,60,72
Sierra Leone,16,3,17,26,17,29
Somalia,0,1,3,5,8,9
^South Africa,5,16,23,30,45,56
Sudan,2,2,4,4,3,8
Swaziland,18,35,46,55,66,85
Tanzania,1,5,14,31,35,44
Togo,7,21,21,22,30,42
Tunisia,95,94,95,82,74,79
Uganda,14,24,30,33,43,53
Zambia,8,19,31,53,72,85
Zimbabwe,2,5,15,21,33,49
