Row Labels,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
Angola,9900,13000,16000,18000,19000,19000,18000,17000,17000,17000,17000,18000,19000,20000,21000,21000,22000,22000,22000,22000
Benin,2100,3000,4200,5600,6900,7600,7600,6900,6000,5300,4900,4600,4400,4500,4600,4700,4700,4700,4900,4900
^Botswana,8900,13000,19000,25000,31000,36000,37000,37000,34000,31000,28000,26000,24000,22000,19000,17000,16000,16000,15000,14000
Burkina Faso,26000,21000,18000,16000,15000,14000,13000,12000,12000,11000,10000,9800,9200,8500,7900,7300,6900,6900,7000,6800
Cameroon,14000,25000,42000,63000,76000,74000,64000,58000,54000,53000,53000,53000,54000,55000,56000,58000,59000,59000,58000,58000
Central African Republic,17000,25000,31000,32000,29000,25000,22000,20000,18000,17000,15000,14000,13000,11000,10000,9200,8100,6800,6000,5200
DRC,8400,6500,5700,5600,5800,6000,6300,6600,6900,7100,7300,7500,7500,7500,7500,7100,6600,6500,6600,6500
^Cote d'Ivoire,52000,72000,90000,99000,98000,89000,78000,68000,61000,55000,50000,46000,42000,38000,35000,30000,27000,24000,21000,17000
Djibouti,0,0,1100,1300,1400,1500,1500,1500,1400,1400,1300,1300,1300,1300,1200,1200,1200,1300,1300,1300
Eritrea,1800,2400,3100,3500,3700,3600,3400,3100,2900,2700,2600,2400,2300,2200,2100,1900,1600,1500,1400,1300
^Gabon,1300,1700,2300,3000,3600,4200,4600,4700,4800,4600,4500,4300,4200,4100,4000,3600,3500,3600,3700,3600
Ghana,8300,13000,19000,28000,36000,41000,40000,36000,31000,27000,24000,23000,23000,23000,22000,23000,23000,22000,22000,22000
Guinea,9400,10000,11000,10000,9800,9100,8600,8200,7900,7800,7700,7700,7700,7700,7700,7500,7000,6400,6400,6200
Guinea-Bissau,0,0,0,0,1100,1400,1600,1900,2100,2200,2300,2400,2400,2400,2400,2400,2400,2300,2100,2100
^Kenya,150000,200000,230000,250000,240000,220000,190000,160000,140000,120000,100000,100000,110000,120000,120000,120000,120000,120000,120000,110000
Lesotho,3300,6600,13000,22000,34000,43000,45000,41000,34000,29000,26000,25000,25000,26000,26000,26000,26000,24000,24000,23000
Malawi,92000,110000,110000,120000,120000,110000,100000,98000,92000,88000,85000,84000,84000,84000,83000,80000,78000,75000,72000,73000
Mali,7200,12000,18000,20000,18000,15000,12000,9500,8300,7500,7100,6800,6500,6300,6000,5300,4800,4500,4700,4600
Mozambique,25000,33000,43000,55000,67000,79000,91000,100000,120000,130000,140000,150000,160000,150000,150000,150000,140000,140000,130000,130000
Namibia,3800,5400,7500,10000,13000,17000,20000,23000,24000,24000,24000,22000,20000,17000,15000,12000,8900,6800,6400,5800
Niger,1300,1900,3000,4500,6300,7900,8600,8200,7300,6800,6300,5800,5400,5200,5500,5700,5800,6100,6200,6100
Nigeria,320000,490000,500000,390000,320000,290000,280000,280000,280000,280000,290000,290000,300000,310000,320000,320000,330000,330000,330000,340000
^Rwanda,21000,18000,17000,16000,14000,13000,13000,14000,15000,16000,16000,17000,17000,14000,13000,10000,8800,8200,7800,8800
Senegal,1400,1700,2100,2400,2800,3200,3600,4000,4400,4800,5100,5500,5800,6100,6000,6100,6200,6300,6500,6000
Sierra Leone,0,0,0,0,1100,1600,2300,3200,4000,4600,5000,5200,5400,5500,5600,5600,5400,5200,5000,4700
^South Africa,60000,97000,150000,240000,350000,490000,610000,700000,720000,700000,640000,590000,540000,500000,480000,460000,430000,420000,400000,390000
Swaziland,3200,4600,6400,8700,12000,15000,17000,19000,20000,20000,20000,19000,19000,18000,18000,18000,16000,15000,15000,14000
Tanzania,160000,170000,180000,180000,170000,160000,150000,140000,140000,130000,130000,130000,130000,130000,130000,130000,130000,120000,110000,100000
Togo,4100,5900,8100,10000,12000,13000,14000,14000,13000,13000,12000,12000,11000,11000,11000,11000,11000,11000,11000,10000
Uganda,200000,130000,98000,87000,84000,85000,87000,88000,90000,92000,94000,98000,100000,100000,100000,110000,110000,120000,120000,120000
Zambia,85000,87000,87000,86000,85000,84000,84000,85000,86000,88000,90000,92000,94000,96000,96000,93000,88000,81000,72000,76000
Zimbabwe,180000,220000,260000,270000,260000,240000,220000,190000,170000,160000,140000,130000,120000,110000,99000,91000,83000,77000,69000,62000
