Row Labels,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
Algeria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1
Angola,0.5,0.8,1,1.2,1.4,1.6,1.7,1.8,1.8,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,2,2
Benin,0.2,0.4,0.5,0.7,0.9,1.1,1.3,1.4,1.4,1.4,1.4,1.4,1.4,1.3,1.3,1.3,1.2,1.2,1.2,1.2
^Botswana,3.5,5.1,7.3,10.1,13.3,16.6,19.7,22.2,24.1,25.3,26,26.3,26.3,26.1,25.8,25.5,25.3,25.1,24.9,24.8
Burkina Faso,3.9,4,3.9,3.8,3.6,3.4,3.2,2.9,2.7,2.5,2.3,2.1,1.9,1.7,1.6,1.5,1.4,1.3,1.2,1.2
Burundi,3.9,4.5,5.1,5.5,5.8,5.9,5.9,5.8,5.7,5.4,5.2,5,4.7,4.5,4.2,4,3.8,3.6,3.5,3.3
^Cote d'Ivoire,2.4,3.3,4.4,5.5,6.4,7.1,7.4,7.5,7.4,7.2,6.9,6.5,6.1,5.7,5.3,4.8,4.4,4.1,3.7,3.4
Cameroon,0.6,1,1.6,2.5,3.4,4.2,4.8,5.1,5.3,5.4,5.5,5.5,5.5,5.5,5.4,5.4,5.4,5.4,5.3,5.3
Central African Republic,3.1,4.6,6.3,7.9,9,9.7,10.1,10.1,10,9.8,9.4,8.9,8.4,7.8,7.2,6.6,6.1,5.5,5.1,4.7
Chad,1.1,1.3,1.5,1.7,1.9,2.1,2.3,2.5,2.7,2.9,3,3.2,3.3,3.4,3.4,3.5,3.5,3.5,3.4,3.4
Comoros,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
DRC,5.2,5.2,5,4.8,4.6,4.4,4.3,4.1,4,3.9,3.9,3.8,3.8,3.7,3.7,3.6,3.6,3.5,3.5,3.4
Djibouti,0.9,1.1,1.4,1.7,2,2.3,2.5,2.7,2.8,2.9,2.9,2.9,2.9,2.8,2.7,2.7,2.6,2.6,2.6,2.5
Egypt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Equatorial Guinea,0.1,0.2,0.2,0.3,0.3,0.4,0.6,0.7,0.9,1.2,1.5,1.9,2.3,2.7,3.2,3.6,4,4.4,4.7,5
Eritrea,0.3,0.4,0.6,0.8,0.9,1.1,1.1,1.2,1.2,1.2,1.2,1.2,1.1,1.1,1,1,0.9,0.9,0.8,0.8
^Gabon,0.9,1.2,1.6,2,2.6,3.1,3.7,4.2,4.6,4.9,5.2,5.3,5.4,5.4,5.4,5.4,5.4,5.3,5.3,5.2
Gambia The,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.5,0.6,0.7,0.8,1,1.1,1.3,1.5,1.7,2
